nodo;seccion;subseccion;fila;frase;conceptosCorpus;intencion;ambito;hablante;acto;modos;ranuras;polaridad;glosasDeLaFila;salidas;interrogativas;fueraDeRanura;pendientes;mecanismos;diagnostico;preguntaBanco;zonaMostradaHoy;preguntaMostradaHoy;usoEnLaApp
n-s6-amenazas_mensajes-05;6;Amenazas, mensajes y entorno digital;5;¿Tiene fotos de la pantalla?;FOTOS · CELULAR · TENER;CAPTURAS;amenaza_digital;hearing;question;C;polarity|evidence;SÍ|NO;FOTOS|CELULAR|TENER;NO_SABER;;TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.DIG.CAPTURAS;evidencia;¿Guardó los mensajes o tiene fotos de pantalla?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-amenazas_mensajes-06;6;Amenazas, mensajes y entorno digital;6;¿Sigue recibiendo mensajes?;AÚN · RECIBIR · ESCRIBIR;CONTINUIDAD_MENSAJES;amenaza_digital;hearing;question;C;polarity;SÍ|NO;AÚN|RECIBIR|ESCRIBIR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.DIG.CONTINUA;hecho;¿Qué tipo de mensajes recibió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-amenazas_mensajes-07;6;Amenazas, mensajes y entorno digital;7;¿Son uno o varios números?;CELULAR · NÚM(...) · ¿CUÁNTOS?;CANTIDAD_NUMEROS;amenaza_digital;hearing;question;C;polarity;SÍ|NO;CELULAR|CUÁNTOS;NO_SABER;CUÁNTOS;;;NÚM(...);glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|disyuntiva_tratada_como_si_no;Q.DIG.CANT_NUMEROS;hecho;¿Qué tipo de mensajes recibió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-amenazas_mensajes-08;6;Amenazas, mensajes y entorno digital;8;¿Puede mostrar el celular ahora?;CELULAR · AHORA · MOSTRAR · PUEDO;MOSTRAR_CELULAR;amenaza_digital;hearing;question;C;polarity|object;SÍ|NO;CELULAR|AHORA|MOSTRAR|PUEDO;NO_SABER;;AHORA|MOSTRAR;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.DIG.MOSTRAR;hecho;¿Qué tipo de mensajes recibió?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-engaño_dinero_y_t-01;6;Engaño, dinero y transacciones;1;¿Entregó o envió dinero?;DINERO/BILLETES · DAR/ENVIAR;DINERO_ENTREGADO;engano_dinero;hearing;question;C;polarity|object;SÍ|NO;BILLETES|DAR;NO_SABER;;DAR;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura|disyuntiva_tratada_como_si_no;Q.DIN.ENTREGO;hecho;¿Cómo ocurrió el engaño con el dinero?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-engaño_dinero_y_t-02;6;Engaño, dinero y transacciones;2;¿Cuánto dinero entregó?;BILLETES · ¿CUÁNTOS?;MONTO;engano_dinero;hearing;question;C;object|amount;;BILLETES|CUÁNTOS;NO_SABER;CUÁNTOS;CUÁNTOS;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.DIN.MONTO;hecho;¿Cómo ocurrió el engaño con el dinero?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-engaño_dinero_y_t-03;6;Engaño, dinero y transacciones;3;¿Lo hizo mediante un banco?;BANCO · BILLETES · ENVIAR;BANCO;engano_dinero;hearing;question;C;polarity;SÍ|NO;BANCO|BILLETES|ENVIAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.DIN.POR_BANCO;hecho;¿Cómo ocurrió el engaño con el dinero?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-engaño_dinero_y_t-04;6;Engaño, dinero y transacciones;4;¿Tiene factura o papel del banco?;FACTURA / PAPEL · BANCO · TENER;COMPROBANTE;engano_dinero;hearing;question;C;polarity|evidence;SÍ|NO;FACTURA|BANCO|TENER;NO_SABER;;BANCO|TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura|disyuntiva_tratada_como_si_no;Q.DIN.COMPROBANTE;hecho;¿Cómo ocurrió el engaño con el dinero?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-engaño_dinero_y_t-05;6;Engaño, dinero y transacciones;5;¿Conoce el nombre de la persona?;ÉL/ELLA · NOMBRE · CONOCER;NOMBRE_PERSONA;engano_dinero;hearing;question;C;polarity|person;SÍ|NO;ÉL|NOMBRE|CONOCER;NO_SABER;;CONOCER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.DIN.RECEPTOR_NOMBRE;hecho;¿Cómo ocurrió el engaño con el dinero?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-engaño_dinero_y_t-06;6;Engaño, dinero y transacciones;6;¿Tiene su número de celular?;ÉL/ELLA · CELULAR · NÚM(...) · TENER;CONTACTO_PERSONA;engano_dinero;hearing;question;C;polarity|object;SÍ|NO;ÉL|CELULAR|TENER;NO_SABER;;ÉL|TENER;;NÚM(...);glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.DIN.RECEPTOR_NUMERO;hecho;¿Cómo ocurrió el engaño con el dinero?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-engaño_dinero_y_t-07;6;Engaño, dinero y transacciones;7;¿Se comunicaron por internet?;INTERNET · ESCRIBIR;CONTACTO_INTERNET;engano_dinero;hearing;question;C;polarity;SÍ|NO;INTERNET|ESCRIBIR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.DIN.INTERNET;hecho;¿Cómo ocurrió el engaño con el dinero?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-engaño_dinero_y_t-08;6;Engaño, dinero y transacciones;8;¿Conserva toda la conversación?;ESCRIBIR · TOTAL · GUARDAR;CONSERVAR_CHAT;engano_dinero;hearing;question;C;polarity;SÍ|NO;ESCRIBIR|TOTAL|GUARDAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.DIN.CHAT;hecho;¿Cómo ocurrió el engaño con el dinero?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-01;6;Testigos, fotos, video y otros elementos;1;¿Hay algún testigo?;TESTIGO · TENER;TESTIGO_EXISTE;otro;hearing;question;C;polarity|person|evidence;SÍ|NO;TESTIGO|TENER;NO_SABER;;TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.TES.EXISTE;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-02;6;Testigos, fotos, video y otros elementos;2;¿Cuántos testigos hay?;TESTIGO · ¿CUÁNTOS?;TESTIGO_CANTIDAD;otro;hearing;question;C;person|amount|evidence;;TESTIGO|CUÁNTOS;NO_SABER;CUÁNTOS;CUÁNTOS;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.TES.CANTIDAD;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-03;6;Testigos, fotos, video y otros elementos;3;¿El testigo vio todo?;TESTIGO · TOTAL · VER;TESTIGO_VIO;otro;hearing;question;C;polarity|person|evidence;SÍ|NO;TESTIGO|TOTAL|VER;NO_SABER;;TOTAL|VER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.TES.VIO_TODO;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-04;6;Testigos, fotos, video y otros elementos;4;¿Puede traer al testigo?;TESTIGO · TRAER · PUEDO;TESTIGO_TRAER;otro;hearing;question;C;polarity|person|evidence;SÍ|NO;TESTIGO|TRAER|PUEDO;NO_SABER;;TRAER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.TES.TRAER;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-05;6;Testigos, fotos, video y otros elementos;5;¿Tiene fotografías?;FOTOS · TENER;FOTOS;otro;hearing;question;C;polarity;SÍ|NO;FOTOS|TENER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.EVI.FOTOS;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-06;6;Testigos, fotos, video y otros elementos;6;¿Tiene video?;VIDEO · TENER;VIDEO;otro;hearing;question;C;polarity|evidence;SÍ|NO;VIDEO|TENER;NO_SABER;;TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.EVI.VIDEO;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-07;6;Testigos, fotos, video y otros elementos;7;¿Puede mostrarlo ahora?;AHORA · MOSTRAR · PUEDO;MOSTRAR;otro;hearing;question;C;polarity;SÍ|NO;AHORA|MOSTRAR|PUEDO;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.EVI.MOSTRAR_AHORA;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-08;6;Testigos, fotos, video y otros elementos;8;¿Tiene un certificado?;CERTIFICADO · TENER;CERTIFICADO;otro;hearing;question;C;polarity|evidence;SÍ|NO;CERTIFICADO|TENER;NO_SABER;;TENER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.EVI.CERTIFICADO;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-09;6;Testigos, fotos, video y otros elementos;9;¿Tiene una resolución o papel previo?;RESOLUCIÓN / PAPEL · TENER;RESOLUCION;otro;hearing;question;C;polarity;SÍ|NO;RESOLUCIÓN|TENER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta|disyuntiva_tratada_como_si_no;Q.EVI.RESOLUCION_PREVIA;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-testigos_fotos_v-10;6;Testigos, fotos, video y otros elementos;10;¿Desea presentar estos elementos?;PRESENTAR · FOTOS/VIDEO/PAPEL · QUERER;PRESENTAR_ELEMENTOS;otro;hearing;question;C;polarity;SÍ|NO;PRESENTAR|FOTOS|QUERER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.EVI.PRESENTAR;relato;¿Qué presenció o desea declarar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-01;6;Seguimiento preliminar y orientación;1;¿Vino a consultar el estado de su caso?;INVESTIGACIÓN · BUSCAR · VENIR;CONSULTA_ESTADO;seguimiento;hearing;question;C;polarity;SÍ|NO;INVESTIGACIÓN|BUSCAR|VENIR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SEG.ESTADO_CASO;tramite;¿Qué gestión o trámite viene a consultar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-02;6;Seguimiento preliminar y orientación;2;¿Tiene el número de referencia?;NÚM(...) · TENER;NUMERO_REFERENCIA;seguimiento;hearing;question;C;polarity;SÍ|NO;TENER;NO_SABER;;;;NÚM(...);glosas_del_enunciado_como_respuesta;Q.SEG.NUM_REFERENCIA;tramite;¿Qué gestión o trámite viene a consultar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-03;6;Seguimiento preliminar y orientación;3;¿Cuándo presentó la denuncia?;[DENUNCIA] · ¿CUÁNDO?;FECHA_DENUNCIA;seguimiento;hearing;question;C;time;;CUÁNDO;NO_SABER;CUÁNDO;CUÁNDO;;[DENUNCIA];glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.SEG.FECHA_DENUNCIA;tiempo;¿Para cuándo está programada la actuación?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-04;6;Seguimiento preliminar y orientación;4;¿Quiere hablar con el policía encargado?;POLICÍA · HABLAR · QUERER;HABLAR_POLICIA;seguimiento;hearing;question;C;polarity|institution;SÍ|NO;POLICÍA|HABLAR|QUERER;NO_SABER;;HABLAR|QUERER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.SEG.HABLAR_POLICIA;institucion_autoridad;¿Con qué autoridad o institución debe coordinar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-05;6;Seguimiento preliminar y orientación;5;¿Necesita hablar con un abogado?;ABOGADO · HABLAR · NECESITAR;HABLAR_ABOGADO;seguimiento;hearing;question;C;polarity;SÍ|NO;ABOGADO|HABLAR|NECESITAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SEG.HABLAR_ABOGADO;institucion_autoridad;¿Con qué autoridad o institución debe coordinar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-06;6;Seguimiento preliminar y orientación;6;¿Necesita defensa pública gratuita?;ABOGADO · GRATIS · d(SEPDEP) · NECESITAR;SEPDEP;seguimiento;hearing;question;C;polarity;SÍ|NO;ABOGADO|GRATIS|NECESITAR;NO_SABER;;;;d(SEPDEP);glosas_del_enunciado_como_respuesta;Q.SEG.DEFENSA_PUBLICA;institucion_autoridad;¿Con qué autoridad o institución debe coordinar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-07;6;Seguimiento preliminar y orientación;7;¿Necesita saber dónde está la Fiscalía?;d(FISCALÍA) · ¿DÓNDE?;FISCALIA;seguimiento;hearing;question;C;polarity|place|institution;SÍ|NO;DÓNDE;NO_SABER;DÓNDE;DÓNDE;;d(FISCALÍA);glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.SEG.DONDE_FISCALIA;institucion_autoridad;¿Con qué autoridad o institución debe coordinar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-08;6;Seguimiento preliminar y orientación;8;¿Recibió un papel de convocatoria?;PAPEL · CONVOCAR · RECIBIR;CITACION;seguimiento;hearing;question;C;polarity;SÍ|NO;PAPEL|CONVOCAR|RECIBIR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SEG.CITACION;tramite;¿Qué gestión o trámite viene a consultar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-09;6;Seguimiento preliminar y orientación;9;¿Tiene que volver otro día?;VOLVER · DÍA · NECESITAR;RETORNO;seguimiento;hearing;question;C;polarity;SÍ|NO;VOLVER|DÍA|NECESITAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SEG.RETORNO;tramite;¿Qué gestión o trámite viene a consultar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-seguimiento_prelim-10;6;Seguimiento preliminar y orientación;10;¿Prefiere que le avisemos por escrito?;AVISAR · ESCRIBIR · ENVIAR · MEJOR;AVISO_ESCRITO;seguimiento;hearing;question;C;polarity;SÍ|NO;AVISAR|ESCRIBIR|ENVIAR|MEJOR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ID.AVISO;tramite;¿Qué gestión o trámite viene a consultar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-interaccion_con_fi-01;6;Interacción con fiscal/juez en el límite del alcance;1;¿Necesita hablar con el fiscal?;d(FISCAL) · HABLAR · NECESITAR;HABLAR_FISCAL;seguimiento;hearing;question;C;polarity|institution;SÍ|NO;HABLAR|NECESITAR;NO_SABER;;HABLAR|NECESITAR;;d(FISCAL);glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.SEG.HABLAR_FISCAL;institucion_autoridad;¿Con qué autoridad o institución debe coordinar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-interaccion_con_fi-02;6;Interacción con fiscal/juez en el límite del alcance;2;¿Le indicaron ir a la Fiscalía?;d(FISCALÍA) · IR;DERIVACION_FISCALIA;seguimiento;hearing;question;C;polarity|institution;SÍ|NO;IR;NO_SABER;;IR;;d(FISCALÍA);glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.SEG.DERIVACION_FISCALIA;institucion_autoridad;¿Con qué autoridad o institución debe coordinar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-interaccion_con_fi-03;6;Interacción con fiscal/juez en el límite del alcance;3;¿Recibió una resolución?;RESOLUCIÓN · RECIBIR;RECIBIR_RESOLUCION;seguimiento;hearing;question;C;polarity;SÍ|NO;RESOLUCIÓN|RECIBIR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SEG.RESOLUCION;tramite;¿Qué gestión o trámite viene a consultar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-interaccion_con_fi-04;6;Interacción con fiscal/juez en el límite del alcance;4;¿Debe presentarse ante un juez?;JUEZ · PRESENTAR;JUEZ;seguimiento;hearing;question;C;polarity;SÍ|NO;JUEZ|PRESENTAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SEG.JUEZ;institucion_autoridad;¿Con qué autoridad o institución debe coordinar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-interaccion_con_fi-05;6;Interacción con fiscal/juez en el límite del alcance;5;¿Sabe dónde está el Órgano Judicial?;ÓRGANO-JUDICIAL · ¿DÓNDE?;ORGANO_JUDICIAL;seguimiento;hearing;question;C;polarity|place;SÍ|NO;ÓRGANO_JUDICIAL|DÓNDE;NO_SABER;DÓNDE;DÓNDE;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta|opcion_fuera_de_ranura;Q.SEG.ORGANO_JUDICIAL;tramite;¿Qué gestión o trámite viene a consultar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-interaccion_con_fi-06;6;Interacción con fiscal/juez en el límite del alcance;6;¿Necesita intérprete para esa reunión?;INTÉRPRETE · REUNIÓN · NECESITAR;INTERPRETE_REUNION;seguimiento;hearing;question;C;polarity;SÍ|NO;INTÉRPRETE|REUNIÓN|NECESITAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SEG.INTERPRETE_REUNION;institucion_autoridad;¿Con qué autoridad o institución debe coordinar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-interaccion_con_fi-07;6;Interacción con fiscal/juez en el límite del alcance;7;¿Quiere leer el papel antes de escribir su nombre?;PAPEL · LEER · NOMBRE · ESCRIBIR · QUERER;LECTURA_ANTES_FIRMA;seguimiento;hearing;question;C;polarity|time;SÍ|NO;PAPEL|LEER|NOMBRE|ESCRIBIR|QUERER;NO_SABER;;PAPEL|LEER|ESCRIBIR|QUERER;;;glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.SEG.LEER_ANTES_FIRMAR;tramite;¿Qué gestión o trámite viene a consultar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-interaccion_con_fi-08;6;Interacción con fiscal/juez en el límite del alcance;8;¿Está de acuerdo con lo escrito?;ESTAR-DE-ACUERDO · ESCRIBIR;CONFORMIDAD;seguimiento;hearing;question;C;polarity;SÍ|NO;ESTAR_DE_ACUERDO|ESCRIBIR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.SEG.CONFORMIDAD;tramite;¿Qué gestión o trámite viene a consultar?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s7-acceso_y_comunicac-01;7;Acceso y comunicación;1;¿Aquí hay intérprete de LSB?;INTÉRPRETE · AQUÍ · TENER;SIN_INTENCION;identificacion;deaf;question;A|B;polarity;SÍ|NO;INTÉRPRETE|AQUÍ|TENER;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-acceso_y_comunicac-02;7;Acceso y comunicación;2;¿Puede escribir lo que me pregunta?;TÚ · ESCRIBIR · PUEDO;SIN_INTENCION;identificacion;deaf;question;A|B;polarity;SÍ|NO;TÚ|ESCRIBIR|PUEDO;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-acceso_y_comunicac-03;7;Acceso y comunicación;3;¿Puede hablar más despacio?;TÚ · LENTO · HABLAR · PUEDO;SIN_INTENCION;identificacion;deaf;question;A|B;polarity;SÍ|NO;TÚ|LENTO|HABLAR|PUEDO;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-acceso_y_comunicac-04;7;Acceso y comunicación;4;¿Puede mostrarme otra vez?;VOLVER · MOSTRAR · PUEDO;SIN_INTENCION;identificacion;deaf;question;A|B;polarity;SÍ|NO;VOLVER|MOSTRAR|PUEDO;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-acceso_y_comunicac-05;7;Acceso y comunicación;5;¿Puedo leer primero?;YO · LEER · PRIMERA-VEZ · PUEDO;SIN_INTENCION;identificacion;deaf;question;A|B;polarity;SÍ|NO;YO|LEER|PRIMERA_VEZ|PUEDO;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-acceso_y_comunicac-06;7;Acceso y comunicación;6;¿Me entiende?;TÚ · YO · COMPRENDER;SIN_INTENCION;identificacion;deaf;question;A|B;polarity;SÍ|NO;TÚ|YO|COMPRENDER;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-acceso_y_comunicac-07;7;Acceso y comunicación;7;¿Puedo venir con mi intérprete?;INTÉRPRETE · ACOMPAÑAR · VENIR · PUEDO;SIN_INTENCION;identificacion;deaf;question;A|B;polarity;SÍ|NO;INTÉRPRETE|ACOMPAÑAR|VENIR|PUEDO;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-acceso_y_comunicac-08;7;Acceso y comunicación;8;¿Pueden avisarme por mensaje escrito?;AVISAR · CELULAR · ESCRIBIR · ENVIAR · PUEDO;SIN_INTENCION;identificacion;deaf;question;A|B;polarity;SÍ|NO;AVISAR|CELULAR|ESCRIBIR|ENVIAR|PUEDO;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-denuncia_y_relato-01;7;Denuncia y relato;1;¿Puedo presentar mi denuncia aquí?;PRESENTAR · [DENUNCIA] · AQUÍ · PUEDO;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity;SÍ|NO;PRESENTAR|AQUÍ|PUEDO;NO_SABER;;;;[DENUNCIA];;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-denuncia_y_relato-02;7;Denuncia y relato;2;¿Quién va a recibir mi denuncia?;¿QUIÉN? · RECIBIR · [DENUNCIA];SIN_INTENCION;denuncia_robo;deaf;question;A|B;person;;QUIÉN|RECIBIR;NO_SABER;QUIÉN;QUIÉN|RECIBIR;;[DENUNCIA];opcion_fuera_de_ranura;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-denuncia_y_relato-03;7;Denuncia y relato;3;¿Tengo que contar todo ahora?;YO · TOTAL · NARRAR · AHORA · NECESITAR;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity|free_text;SÍ|NO;YO|TOTAL|NARRAR|AHORA|NECESITAR;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-denuncia_y_relato-04;7;Denuncia y relato;4;¿Puedo explicar despacio?;YO · LENTO · EXPLICAR · PUEDO;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity|free_text;SÍ|NO;YO|LENTO|EXPLICAR|PUEDO;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-denuncia_y_relato-05;7;Denuncia y relato;5;¿Puedo agregar información después?;AUMENTAR · NARRAR · DESPUÉS · PUEDO;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity|free_text;SÍ|NO;AUMENTAR|NARRAR|DESPUÉS|PUEDO;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-denuncia_y_relato-06;7;Denuncia y relato;6;¿Puedo corregir algo si está mal escrito?;MAL · ESCRIBIR · ARREGLAR · PUEDO;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity;SÍ|NO;MAL|ESCRIBIR|ARREGLAR|PUEDO;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-denuncia_y_relato-07;7;Denuncia y relato;7;¿Puedo leer lo escrito antes de poner mi nombre?;PAPEL · LEER · NOMBRE · ESCRIBIR · PUEDO;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity|time;SÍ|NO;PAPEL|LEER|NOMBRE|ESCRIBIR|PUEDO;NO_SABER;;PAPEL|LEER|ESCRIBIR;;;opcion_fuera_de_ranura;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-denuncia_y_relato-08;7;Denuncia y relato;8;¿Me dan una copia?;FOTOCOPIA · YO · RECIBIR;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity;SÍ|NO;FOTOCOPIA|YO|RECIBIR;NO_SABER;;;;;;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-robo_y_objetos-01;7;Robo y objetos;1;¿Pueden buscar mi celular?;MÍO · CELULAR · BUSCAR · PUEDO;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity|object;SÍ|NO;MÍO|CELULAR|BUSCAR|PUEDO;NO_SABER;;MÍO|BUSCAR;;;opcion_fuera_de_ranura;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-robo_y_objetos-02;7;Robo y objetos;2;¿Traigo la factura del celular?;CELULAR · FACTURA · TRAER · NECESITAR;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity|object|evidence;SÍ|NO;CELULAR|FACTURA|TRAER|NECESITAR;NO_SABER;;TRAER|NECESITAR;;;opcion_fuera_de_ranura;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-robo_y_objetos-03;7;Robo y objetos;3;¿Traigo la caja del celular?;CELULAR · CAJA · TRAER · NECESITAR;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity|object;SÍ|NO;CELULAR|CAJA|TRAER|NECESITAR;NO_SABER;;TRAER|NECESITAR;;;opcion_fuera_de_ranura;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-robo_y_objetos-04;7;Robo y objetos;4;¿Dónde entrego las fotos?;FOTOS · YO · ¿DÓNDE? · DAR;SIN_INTENCION;denuncia_robo;deaf;question;A|B;place|evidence;;FOTOS|YO|DÓNDE|DAR;NO_SABER;DÓNDE;YO|DÓNDE|DAR;;;opcion_fuera_de_ranura;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-robo_y_objetos-05;7;Robo y objetos;5;¿Puedo traer el video mañana?;VIDEO · MAÑANA · TRAER · PUEDO;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity|evidence;SÍ|NO;VIDEO|MAÑANA|TRAER|PUEDO;NO_SABER;;MAÑANA|TRAER;;;opcion_fuera_de_ranura;;;;ninguno: el cliente solo empareja nodos en modo C
n-s7-robo_y_objetos-06;7;Robo y objetos;6;¿Puedo agregar otro objeto robado?;ROBAR · OBJETO · AUMENTAR · PUEDO;SIN_INTENCION;denuncia_robo;deaf;question;A|B;polarity|object|free_text;SÍ|NO;ROBAR|AUMENTAR|PUEDO;NO_SABER;;;OBJETO;;;;;;ninguno: el cliente solo empareja nodos en modo C
