questionId;espanol;formulationGlosses;secuenciaCorpus;todasEnCorpusV4;estadoGramatica;evidencia;problema;propuesta;noManuales;requiereValidacionHumana;validadoPor
Q.ID.ACOMPANANTE_QUIEN;¿Quién le acompaña?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.ID.APELLIDO;¿Puede deletrear su apellido?;NOMBRE|PUEDO;DELETREAR · NOMBRE · PUEDO;sí;LEXICAL_GAP;corpus §6 «¿Puede deletrear su apellido?» (nota: Directo);DELETREAR: no está en el corpus v4;ninguna: no hay evidencia para cambiar la secuencia;desconocidos;confirmar el orden DELETREAR · NOMBRE · PUEDO como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar cómo expresar DELETREAR sin una seña fuera del corpus v4 (no se añade al corpus);
Q.ID.AVISO;¿Prefiere recibir avisos por mensaje escrito?;AVISAR|ESCRIBIR|ENVIAR|MEJOR|AVISAR|ESCRIBIR|ENVIAR|MEJOR;AVISAR · ESCRIBIR · ENVIAR · MEJOR || AVISAR · ESCRIBIR · ENVIAR · MEJOR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Prefiere recibir avisos por mensaje escrito?» (nota: Directo) || corpus §6 «¿Prefiere que le avisemos por escrito?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar que la secuencia de «¿Prefiere que le avisemos por escrito?» sirve para la formulación del banco «¿Prefiere recibir avisos por mensaje escrito?»|confirmar el orden AVISAR · ESCRIBIR · ENVIAR · MEJOR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.ID.DOC_NUMERO;¿Cuál es el número de su documento?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.ID.DOC_TIENE;¿Tiene su carnet de identidad?;PAPEL|IDENTIDAD|TENER;PAPEL · IDENTIDAD · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene su carnet de identidad?» (nota: Composición PAPEL+IDENTIDAD);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden PAPEL · IDENTIDAD · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la composición como unidad (Composición PAPEL+IDENTIDAD);
Q.ID.DOC_TIPO;¿Qué documento presenta?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.ID.EDAD_PROPIA;¿Qué edad tiene?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español (el banco solo declara el conjunto sin orden ['EDAD'])";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.ID.NOMBRE;¿Cuál es su nombre completo?;TUYO|NOMBRE|CUÁL;TUYO · NOMBRE · ¿CUÁL?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Cuál es su nombre completo?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden TUYO · NOMBRE · ¿CUÁL? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁL? en esta construcción|confirmar si TUYO explícito es necesario o se expresa por dirección/mirada|confirmar la construcción posesiva (orden poseedor/poseído);
Q.ID.TELEFONO_PROPIO;¿Cuál es su número de celular?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español (el banco solo declara el conjunto sin orden ['ENVIAR', 'AVISAR', 'MEJOR'])";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.ID.TELEFONO_VALIDA;¿Este número de celular es suyo?;CELULAR|TUYO|VERDAD;CELULAR · NÚM(...) · TUYO · VERDAD;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Este número de celular es suyo?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden CELULAR · NÚM(...) · TUYO · VERDAD como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar si TUYO explícito es necesario o se expresa por dirección/mirada|confirmar la construcción posesiva (orden poseedor/poseído);
Q.LUG.DENTRO_FUERA;¿Ocurrió dentro o fuera del lugar?;DENTRO|FUERA|CUÁL;DENTRO · FUERA · ¿CUÁL?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Ocurrió dentro o fuera del lugar?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden DENTRO · FUERA · ¿CUÁL? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁL? en esta construcción;
Q.LUG.DONDE;¿Dónde ocurrió?;DÓNDE;¿DÓNDE?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Dónde ocurrió?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden ¿DÓNDE? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿DÓNDE? en esta construcción;
Q.LUG.RELACION;¿Fue cerca de algún lugar que conozca?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.ORI.SEPDAVI;¿Desea orientación para recibir asistencia de SEPDAVI?;ASISTENCIA|SEPDAVI|QUERER;ASISTENCIA · d(SEPDAVI) · QUERER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Desea orientación para recibir asistencia de SEPDAVI?» (nota: Institución por dactilología);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ASISTENCIA · d(SEPDAVI) · QUERER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la integración de d(SEPDAVI) en la secuencia;
Q.PER.CONOCE;¿Conoce a la persona involucrada?;TÚ|ÉL|CONOCER;TÚ · ÉL/ELLA · CONOCER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Conoce a la persona involucrada?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden TÚ · ÉL/ELLA · CONOCER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar si TÚ explícito es necesario o se expresa por dirección/mirada|elegir una de las alternativas ÉL/ELLA;
Q.PER.DESC.CABELLO;¿Qué color de cabello recuerda?;CABELLO|CUÁL;CABELLO · COLOR · ¿CUÁL?;sí;LEXICAL_GAP;"corpus §6 «¿Qué color de cabello recuerda?» (nota: COLOR como categoría; usar colores concretos)";COLOR: no está en el corpus v4;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden CABELLO · COLOR · ¿CUÁL? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁL? en esta construcción|confirmar cómo expresar COLOR sin una seña fuera del corpus v4 (no se añade al corpus);
Q.PER.DESC.CONTEXTURA;¿Era delgado o de contextura gruesa?;FLACO|GORDO|CUÁL;FLACO · GORDO · ¿CUÁL?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Era delgado o de contextura gruesa?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden FLACO · GORDO · ¿CUÁL? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁL? en esta construcción;
Q.PER.DESC.EDAD;¿Qué edad aproximada tenía?;JOVEN|ADULTO|CUÁL;JOVEN · ADULTO · ¿CUÁL?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Era joven o adulto?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar que la secuencia de «¿Era joven o adulto?» sirve para la formulación del banco «¿Qué edad aproximada tenía?»|confirmar el orden JOVEN · ADULTO · ¿CUÁL? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁL? en esta construcción;
Q.PER.DESC.ESTATURA;¿Era alto o bajo?;ALTO|BAJO|CUÁL;ALTO · BAJO · ¿CUÁL?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Era alto o bajo?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden ALTO · BAJO · ¿CUÁL? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁL? en esta construcción;
Q.PER.DESC.GORRA;¿Llevaba gorra?;GORRA|TENER;GORRA · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Llevaba gorra?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden GORRA · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.PER.DESC.LENTES;¿Usaba lentes?;LENTES|TENER;LENTES · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Usaba lentes?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden LENTES · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.PER.DESC.MOCHILA;¿Llevaba mochila o bolsa?;MOCHILA|BOLSA|CUÁL;MOCHILA · BOLSA · ¿CUÁL?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Llevaba mochila o bolsa?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden MOCHILA · BOLSA · ¿CUÁL? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁL? en esta construcción;
Q.PER.DESC.RASGO;¿Recuerda alguna característica particular?;RECORDAR|QUÉ;RECORDAR · ¿QUÉ?;sí;GRAMMAR_PROVISIONAL;"corpus §6 «¿Recuerda alguna característica particular?» (nota: No forzar “tatuaje”; describir rasgo concreto)";;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden RECORDAR · ¿QUÉ? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿QUÉ? en esta construcción;
Q.PER.DESC.ROPA;¿Qué ropa llevaba?;POLERA|PANTALÓN|CHAMARRA|CUÁL;POLERA · PANTALÓN · CHAMARRA · ¿CUÁL?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Qué ropa llevaba?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden POLERA · PANTALÓN · CHAMARRA · ¿CUÁL? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁL? en esta construcción;
Q.PER.DESC.SEXO;¿Era un hombre o una mujer?;HOMBRE|MUJER|CUÁL;HOMBRE · MUJER · ¿CUÁL?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Era un hombre o una mujer?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden HOMBRE · MUJER · ¿CUÁL? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁL? en esta construcción;
Q.PER.DESCRIBIR;¿Quiere describir a la persona?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.PER.NOMBRE_TERCERO;¿Sabe cómo se llama esa persona?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.PER.OBSERVADA;¿A quién vio?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.PER.OTROS_PRESENTES;¿Había otras personas presentes?;HOMBRE|MUJER|ALLÍ|TENER;HOMBRE · MUJER · ALLÍ · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Había otras personas presentes?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden HOMBRE · MUJER · ALLÍ · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.PER.RECONOCE;¿Puede identificarla si la vuelve a ver?;IDENTIFICAR|VOLVER|VER|PUEDO;IDENTIFICAR · VOLVER · VER · PUEDO;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Puede identificarla si la vuelve a ver?» (nota: Directo D2024 + M1-4);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden IDENTIFICAR · VOLVER · VER · PUEDO como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.PER.VINCULO;¿Qué relación tiene con esa persona?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.RIE.AMENAZAS;¿Recibió amenazas?;AMENAZAR|RECIBIR;AMENAZAR · RECIBIR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Recibió amenazas?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden AMENAZAR · RECIBIR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.RIE.AUXILIO;¿Necesita auxilio ahora?;AUXILIO|AHORA|NECESITAR;AUXILIO · AHORA · NECESITAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Necesita auxilio ahora?» (nota: AUXILIO directo D2024);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden AUXILIO · AHORA · NECESITAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la posición de la expresión temporal AHORA;
Q.RIE.MIEDO_CASA;¿Tiene miedo de volver a su casa?;MIEDO|CASA|VOLVER;MIEDO · CASA · VOLVER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene miedo de volver a su casa?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden MIEDO · CASA · VOLVER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.RIE.PIDE_PROTECCION;¿Necesita protección?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.RIE.PROTECCION_OTROS;¿Hay niños u otras personas que necesiten protección?;HIJO|PROTEGER|NECESITAR;HIJO/HIJA · PROTEGER · NECESITAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Hay niños u otras personas que necesiten protección?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden HIJO/HIJA · PROTEGER · NECESITAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|elegir una de las alternativas HIJO/HIJA;
Q.RIE.QUIENES;¿Quiénes necesitan protección?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.ROB.ALGO;¿Le robaron algún objeto?;ROBAR;ROBAR · OBJETO;sí;LEXICAL_GAP;"corpus §6 «¿Le robaron algún objeto?» (nota: ROBAR directo D2024; objeto debe ser concreto)";OBJETO: no está en el corpus v4;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ROBAR · OBJETO como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar cómo expresar OBJETO sin una seña fuera del corpus v4 (no se añade al corpus);
Q.ROB.CONFIRMA_OBJETO;¿Le robaron {mencionado}?;ROBAR|CELULAR;ROBAR · CELULAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Le robaron el celular?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar que la secuencia de «¿Le robaron el celular?» sirve para la formulación del banco «¿Le robaron {mencionado}?»|confirmar el orden ROBAR · CELULAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.ROB.FALTA_CARNET;¿Le falta su carnet de identidad?;PAPEL|IDENTIDAD|PERDER;PAPEL · IDENTIDAD · PERDER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Le falta su carnet de identidad?» (nota: Composición);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden PAPEL · IDENTIDAD · PERDER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la composición como unidad (Composición);
Q.ROB.FALTA_DINERO;¿Le falta dinero?;BILLETES|PERDER;DINERO/BILLETES · PERDER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Le falta dinero?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden DINERO/BILLETES · PERDER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|elegir una de las alternativas DINERO/BILLETES;
Q.ROB.LADRON_ESCAPO;¿El ladrón escapó?;LADRÓN|ESCAPAR;LADRÓN · ESCAPAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿El ladrón escapó?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden LADRÓN · ESCAPAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.ROB.QUE;¿Qué le robaron?;ROBAR|QUÉ;ROBAR · ¿QUÉ?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Qué le robaron?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden ROBAR · ¿QUÉ? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿QUÉ? en esta construcción;
Q.ROB.VIO_LADRON;¿Vio al ladrón?;LADRÓN|VER;LADRÓN · VER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Vio al ladrón?» (nota: LADRÓN directo D2024);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden LADRÓN · VER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.SAL.ASISTENCIA;¿Necesita asistencia médica?;ASISTENCIA|DOCTOR|NECESITAR;ASISTENCIA · DOCTOR · NECESITAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Necesita asistencia médica?» (nota: ASISTENCIA directo D2024);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ASISTENCIA · DOCTOR · NECESITAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.SAL.CERTIFICADO;¿Tiene certificado del doctor?;CERTIFICADO|DOCTOR|TENER;CERTIFICADO · DOCTOR · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene certificado del doctor?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden CERTIFICADO · DOCTOR · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.SAL.HERIDO;¿Está herido?;HERIDA|TENER;HERIDA · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Está herido?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden HERIDA · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.SAL.HOSPITAL;¿Fue al hospital?;HOSPITAL|IR;HOSPITAL · IR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Fue al hospital?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden HOSPITAL · IR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.SAL.PARTE;¿Dónde tiene la herida?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.SEG.AUTORIDAD;¿Con qué institución es su trámite?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.SEG.CITACION;¿Recibió un papel de convocatoria?;PAPEL|CONVOCAR|RECIBIR;PAPEL · CONVOCAR · RECIBIR;sí;GRAMMAR_PROVISIONAL;"corpus §6 «¿Recibió un papel de convocatoria?» (nota: Composición establecida en corpus; validar naturalidad)";;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;"confirmar el orden PAPEL · CONVOCAR · RECIBIR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la composición como unidad (Composición establecida en corpus; validar naturalidad)";
Q.SEG.CONFORMIDAD;¿Está de acuerdo con lo escrito?;ESTAR_DE_ACUERDO|ESCRIBIR;ESTAR-DE-ACUERDO · ESCRIBIR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Está de acuerdo con lo escrito?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ESTAR-DE-ACUERDO · ESCRIBIR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar cómo se marca la pregunta disyuntiva («… o …»): la secuencia no marca ni la disyunción ni la pregunta;
Q.SEG.DEFENSA_PUBLICA;¿Necesita defensa pública gratuita?;ABOGADO|GRATIS|SEPDEP|NECESITAR;ABOGADO · GRATIS · d(SEPDEP) · NECESITAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Necesita defensa pública gratuita?» (nota: Institución por dactilología);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ABOGADO · GRATIS · d(SEPDEP) · NECESITAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la integración de d(SEPDEP) en la secuencia;
Q.SEG.DERIVACION_FISCALIA;¿Le indicaron ir a la Fiscalía?;FISCALIA|IR;d(FISCALÍA) · IR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Le indicaron ir a la Fiscalía?» (nota: Dactilología);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden d(FISCALÍA) · IR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la integración de d(FISCALÍA) en la secuencia;
Q.SEG.DONDE_FISCALIA;¿Necesita saber dónde está la Fiscalía?;FISCALIA|DÓNDE;d(FISCALÍA) · ¿DÓNDE?;sí;GRAMMAR_PROVISIONAL;"corpus §6 «¿Necesita saber dónde está la Fiscalía?» (nota: Dactilología; no usar falso amigo FISCAL)";;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden d(FISCALÍA) · ¿DÓNDE? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿DÓNDE? en esta construcción|confirmar la integración de d(FISCALÍA) en la secuencia;
