nodo;seccion;fila;frase;intencion;ambito;hablante;acto;modos;preguntaBanco;glosasDelEnunciado;respuestas;glosasDeRespuesta;controles;literales;pendientes
n-s7-denuncia_y_relato-06;7;6;¿Puedo corregir algo si está mal escrito?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;MAL|ESCRIBIR|ARREGLAR|PUEDO;;;;;
n-s7-denuncia_y_relato-07;7;7;¿Puedo leer lo escrito antes de poner mi nombre?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;PAPEL|LEER|NOMBRE|ESCRIBIR|PUEDO;;;;;
n-s7-denuncia_y_relato-08;7;8;¿Me dan una copia?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;FOTOCOPIA|YO|RECIBIR;;;;;
n-s7-robo_y_objetos-01;7;1;¿Pueden buscar mi celular?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;MÍO|CELULAR|BUSCAR|PUEDO;;;;;
n-s7-robo_y_objetos-02;7;2;¿Traigo la factura del celular?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;CELULAR|FACTURA|TRAER|NECESITAR;;;;;
n-s7-robo_y_objetos-03;7;3;¿Traigo la caja del celular?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;CELULAR|CAJA|TRAER|NECESITAR;;;;;
n-s7-robo_y_objetos-04;7;4;¿Dónde entrego las fotos?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;FOTOS|YO|DÓNDE|DAR;;;;;
n-s7-robo_y_objetos-05;7;5;¿Puedo traer el video mañana?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;VIDEO|MAÑANA|TRAER|PUEDO;;;;;
n-s7-robo_y_objetos-06;7;6;¿Puedo agregar otro objeto robado?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;ROBAR|AUMENTAR|PUEDO;;;;;OBJETO
n-s7-robo_y_objetos-07;7;7;¿Me avisan si encuentran mi celular?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;CELULAR|BUSCAR|TERMINAR|YO|AVISAR;;;;;
n-s7-robo_y_objetos-08;7;8;¿La investigación continúa?;SIN_INTENCION;denuncia_robo;deaf;question;A|B;;INVESTIGACIÓN|CONTINUAR;;;;;
n-s7-violencia_amenaza-01;7;1;¿Puedo pedir ayuda ahora?;SIN_INTENCION;violencia;deaf;question;A|B;;AYUDAR|AHORA|PEDIR|PUEDO;;;;;
n-s7-violencia_amenaza-02;7;2;¿Pueden ayudarme a estar protegido?;SIN_INTENCION;violencia;deaf;question;A|B;;YO|PROTEGER|AYUDAR|PUEDO;;;;;
n-s7-violencia_amenaza-03;7;3;¿Necesito ir al hospital?;SIN_INTENCION;violencia;deaf;question;A|B;;HOSPITAL|IR|NECESITAR;;;;;
n-s7-violencia_amenaza-04;7;4;¿Necesito certificado del doctor?;SIN_INTENCION;violencia;deaf;question;A|B;;DOCTOR|CERTIFICADO|NECESITAR;;;;;
n-s7-violencia_amenaza-05;7;5;¿Dónde entrego el certificado?;SIN_INTENCION;violencia;deaf;question;A|B;;CERTIFICADO|DÓNDE|DAR;;;;;
n-s7-violencia_amenaza-06;7;6;¿Qué hago si vuelve a amenazarme?;SIN_INTENCION;violencia;deaf;question;A|B;;ÉL|VOLVER|AMENAZAR|YO|QUÉ|HACER;;;;;
n-s7-violencia_amenaza-07;7;7;¿Puedo mostrar los mensajes del celular?;SIN_INTENCION;violencia;deaf;question;A|B;;CELULAR|ESCRIBIR|MOSTRAR|PUEDO;;;;;
n-s7-violencia_amenaza-08;7;8;¿SEPDAVI puede ayudarme?;SIN_INTENCION;violencia;deaf;question;A|B;;YO|AYUDAR|PUEDO;;;;d(SEPDAVI);
n-s7-testigos_y_evidenc-01;7;1;¿Puedo traer al testigo mañana?;SIN_INTENCION;otro;deaf;question;A|B;;TESTIGO|MAÑANA|TRAER|PUEDO;;;;;
n-s7-testigos_y_evidenc-02;7;2;¿El testigo necesita su carnet?;SIN_INTENCION;otro;deaf;question;A|B;;TESTIGO|PAPEL|IDENTIDAD|NECESITAR;;;;;
n-s7-testigos_y_evidenc-03;7;3;¿Puedo enviar las fotos?;SIN_INTENCION;otro;deaf;question;A|B;;FOTOS|ENVIAR|PUEDO;;;;;
n-s7-testigos_y_evidenc-04;7;4;¿Puedo mostrar el video desde mi celular?;SIN_INTENCION;otro;deaf;question;A|B;;VIDEO|CELULAR|MOSTRAR|PUEDO;;;;;
n-s7-testigos_y_evidenc-05;7;5;¿Necesito fotocopias?;SIN_INTENCION;otro;deaf;question;A|B;;FOTOCOPIA|NECESITAR;;;;;
n-s7-testigos_y_evidenc-06;7;6;¿Me dan un papel con sello?;SIN_INTENCION;otro;deaf;question;A|B;;PAPEL|SELLO|YO|RECIBIR;;;;;
n-s7-testigos_y_evidenc-07;7;7;¿Puedo presentar un certificado después?;SIN_INTENCION;otro;deaf;question;A|B;;PRESENTAR|CERTIFICADO|DESPUÉS|PUEDO;;;;;
n-s7-testigos_y_evidenc-08;7;8;¿Qué más tengo que traer?;SIN_INTENCION;otro;deaf;question;A|B;;TRAER|QUÉ|AÚN|NECESITAR;;;;;
n-s7-consulta_y_seguimi-01;7;1;¿Quién investiga mi denuncia?;SIN_INTENCION;seguimiento;deaf;question;A|B;;QUIÉN|INVESTIGACIÓN;;;;[DENUNCIA];
n-s7-consulta_y_seguimi-02;7;2;¿Puedo hablar con el policía encargado?;SIN_INTENCION;seguimiento;deaf;question;A|B;;POLICÍA|HABLAR|PUEDO;;;;;
n-s7-consulta_y_seguimi-03;7;3;¿Cuándo vuelvo?;SIN_INTENCION;seguimiento;deaf;question;A|B;;YO|CUÁNDO|VOLVER;;;;;
n-s7-consulta_y_seguimi-04;7;4;¿Cuánto tiempo debo esperar?;SIN_INTENCION;seguimiento;deaf;question;A|B;;YO|ESPERAR|HORA|CUÁNTOS;;;;;
n-s7-consulta_y_seguimi-05;7;5;¿Me van a avisar?;SIN_INTENCION;seguimiento;deaf;question;A|B;;ELLOS|YO|AVISAR;;;;;
n-s7-consulta_y_seguimi-06;7;6;¿Pueden escribirme al celular?;SIN_INTENCION;seguimiento;deaf;question;A|B;;CELULAR|ESCRIBIR|ENVIAR|PUEDO;;;;;
n-s7-consulta_y_seguimi-07;7;7;¿La investigación ya terminó?;SIN_INTENCION;seguimiento;deaf;question;A|B;;INVESTIGACIÓN|TERMINAR;;;;;
n-s7-consulta_y_seguimi-08;7;8;¿Encontraron a la persona?;SIN_INTENCION;seguimiento;deaf;question;A|B;;ÉL|BUSCAR|TERMINAR;;;;;
n-s7-consulta_y_seguimi-09;7;9;¿Puedo cambiar mi dirección?;SIN_INTENCION;seguimiento;deaf;question;A|B;;MÍO|DIRECCIÓN|CAMBIAR|PUEDO;;;;;
n-s7-consulta_y_seguimi-10;7;10;¿Puedo cambiar mi número de celular?;SIN_INTENCION;seguimiento;deaf;question;A|B;;MÍO|CELULAR|CAMBIAR|PUEDO;;;;NÚM(...);
n-s7-fiscalia_asistenc-01;7;1;¿Dónde está la Fiscalía?;SIN_INTENCION;seguimiento;deaf;question;A|B;;DÓNDE;;;;d(FISCALÍA);
n-s7-fiscalia_asistenc-02;7;2;¿Tengo que ir a la Fiscalía?;SIN_INTENCION;seguimiento;deaf;question;A|B;;IR|NECESITAR;;;;d(FISCALÍA);
n-s7-fiscalia_asistenc-03;7;3;¿Puedo hablar con el fiscal?;SIN_INTENCION;seguimiento;deaf;question;A|B;;HABLAR|PUEDO;;;;d(FISCAL);
n-s7-fiscalia_asistenc-04;7;4;¿Necesito abogado?;SIN_INTENCION;seguimiento;deaf;question;A|B;;ABOGADO|NECESITAR;;;;;
n-s7-fiscalia_asistenc-05;7;5;¿Hay abogado gratis?;SIN_INTENCION;seguimiento;deaf;question;A|B;;ABOGADO|GRATIS|TENER;;;;;
n-s7-fiscalia_asistenc-06;7;6;¿SEPDEP puede darme defensa gratuita?;SIN_INTENCION;seguimiento;deaf;question;A|B;;ABOGADO|GRATIS;;;;d(SEPDEP);
n-s7-fiscalia_asistenc-07;7;7;¿SEPDAVI puede orientarme?;SIN_INTENCION;seguimiento;deaf;question;A|B;;ASISTENCIA|AYUDAR;;;;d(SEPDAVI);
n-s7-fiscalia_asistenc-08;7;8;¿Dónde está el Órgano Judicial?;SIN_INTENCION;seguimiento;deaf;question;A|B;;ÓRGANO_JUDICIAL|DÓNDE;;;;;
n-s7-fiscalia_asistenc-09;7;9;¿Tengo que presentarme ante un juez?;SIN_INTENCION;seguimiento;deaf;question;A|B;;JUEZ|PRESENTAR|NECESITAR;;;;;
n-s7-fiscalia_asistenc-10;7;10;¿Necesito intérprete para hablar con el juez?;SIN_INTENCION;seguimiento;deaf;question;A|B;;JUEZ|INTÉRPRETE|NECESITAR;;;;;
n-s8-declaraciones_y_re-01;8;1;Soy sordo y necesito intérprete.;SIN_INTENCION;otro;deaf;statement;A|B;;YO|SORDO|INTÉRPRETE|NECESITAR;;;;;
n-s8-declaraciones_y_re-02;8;2;"Leo poco; prefiero LSB.";SIN_INTENCION;otro;deaf;statement;A|B;;YO|LEER|POCO|INTÉRPRETE|MEJOR;;;;;
n-s8-declaraciones_y_re-03;8;3;Quiero presentar una denuncia.;SIN_INTENCION;otro;deaf;statement;A|B;;PRESENTAR|QUERER;;;;[DENUNCIA];
n-s8-declaraciones_y_re-04;8;4;Quiero explicar lo que pasó desde el principio.;SIN_INTENCION;otro;deaf;statement;A|B;;NARRAR|EMPEZAR|QUERER;;;;;
n-s8-declaraciones_y_re-05;8;5;Ayer por la tarde ocurrió.;SIN_INTENCION;otro;deaf;statement;A|B;;AYER|TARDE;;;;;
n-s8-declaraciones_y_re-06;8;6;No recuerdo la hora exacta.;SIN_INTENCION;otro;deaf;statement;A|B;;HORA|RECORDAR;;;;;
n-s8-declaraciones_y_re-07;8;7;Ocurrió en la calle cerca del mercado.;SIN_INTENCION;otro;deaf;statement;A|B;;CALLE|MERCADO|CERCA;;;;;
n-s8-declaraciones_y_re-08;8;8;No conozco a la persona.;SIN_INTENCION;otro;deaf;statement;A|B;;ÉL|CONOCER;;;;;
n-s8-declaraciones_y_re-09;8;9;Si la vuelvo a ver, puedo identificarla.;SIN_INTENCION;otro;deaf;statement;A|B;;VOLVER|VER|IDENTIFICAR|PUEDO;;;;;
n-s8-declaraciones_y_re-10;8;10;Vi a un hombre joven con mochila.;SIN_INTENCION;otro;deaf;statement;A|B;;HOMBRE|JOVEN|MOCHILA|VER;;;;;
n-s8-declaraciones_y_re-11;8;11;Me robaron el celular.;SIN_INTENCION;otro;deaf;statement;A|B;;ROBAR|MÍO|CELULAR;;;;;
n-s8-declaraciones_y_re-12;8;12;También perdí mi carnet.;SIN_INTENCION;otro;deaf;statement;A|B;;PAPEL|IDENTIDAD|PERDER;;;;;
n-s8-declaraciones_y_re-13;8;13;Tengo la factura del celular.;SIN_INTENCION;otro;deaf;statement;A|B;;CELULAR|FACTURA|TENER;;;;;
n-s8-declaraciones_y_re-14;8;14;Hay un testigo.;SIN_INTENCION;otro;deaf;statement;A|B;;TESTIGO|TENER;;;;;
n-s8-declaraciones_y_re-15;8;15;El testigo vio todo.;SIN_INTENCION;otro;deaf;statement;A|B;;TESTIGO|TOTAL|VER;;;;;
n-s8-declaraciones_y_re-16;8;16;Tengo fotos en mi celular.;SIN_INTENCION;otro;deaf;statement;A|B;;FOTOS|CELULAR|TENER;;;;;
n-s8-declaraciones_y_re-17;8;17;Tengo un video.;SIN_INTENCION;otro;deaf;statement;A|B;;VIDEO|TENER;;;;;
n-s8-declaraciones_y_re-18;8;18;Un hombre me pegó.;SIN_INTENCION;otro;deaf;statement;A|B;;HOMBRE|YO|PEGAR;;;;;
n-s8-declaraciones_y_re-19;8;19;Tengo una herida en el brazo.;SIN_INTENCION;otro;deaf;statement;A|B;;BRAZO|HERIDA|TENER;;;;;
n-s8-declaraciones_y_re-20;8;20;Fui al hospital.;SIN_INTENCION;otro;deaf;statement;A|B;;HOSPITAL|IR;;;;;
n-s8-declaraciones_y_re-21;8;21;Tengo certificado del doctor.;SIN_INTENCION;otro;deaf;statement;A|B;;DOCTOR|CERTIFICADO|TENER;;;;;
n-s8-declaraciones_y_re-22;8;22;Mi expareja me amenaza.;SIN_INTENCION;otro;deaf;statement;A|B;;PAREJA|PASADO|ÉL|YO|AMENAZAR;;;;;
n-s8-declaraciones_y_re-23;8;23;Tengo miedo de volver a mi casa.;SIN_INTENCION;otro;deaf;statement;A|B;;MIEDO|CASA|VOLVER;;;;;
n-s8-declaraciones_y_re-24;8;24;Necesito auxilio ahora.;SIN_INTENCION;otro;deaf;statement;A|B;;AUXILIO|AHORA|NECESITAR;;;;;
n-s8-declaraciones_y_re-25;8;25;Guardé todos los mensajes.;SIN_INTENCION;otro;deaf;statement;A|B;;ESCRIBIR|TOTAL|GUARDAR;;;;;
n-s8-declaraciones_y_re-26;8;26;Tengo fotos de la pantalla.;SIN_INTENCION;otro;deaf;statement;A|B;;FOTOS|CELULAR|TENER;;;;;
n-s8-declaraciones_y_re-27;8;27;Me engañaron con dinero.;SIN_INTENCION;otro;deaf;statement;A|B;;ENGAÑAR|BILLETES;;;;;
n-s8-declaraciones_y_re-28;8;28;Envié dinero por el banco.;SIN_INTENCION;otro;deaf;statement;A|B;;BANCO|BILLETES|ENVIAR;;;;;
n-s8-declaraciones_y_re-29;8;29;Tengo el papel del banco.;SIN_INTENCION;otro;deaf;statement;A|B;;PAPEL|BANCO|TENER;;;;;
n-s8-declaraciones_y_re-30;8;30;Dañaron la puerta de mi tienda.;SIN_INTENCION;otro;deaf;statement;A|B;;TIENDA|PUERTA|DAÑAR;;;;;
n-s8-declaraciones_y_re-31;8;31;Tengo el video de la cámara.;SIN_INTENCION;otro;deaf;statement;A|B;;VIDEO|FILMAR|TENER;;;;;
n-s8-declaraciones_y_re-32;8;32;Vi lo ocurrido y puedo dar testimonio.;SIN_INTENCION;otro;deaf;statement;A|B;;OBSERVAR|TESTIMONIO|PUEDO;;;;;
n-s8-declaraciones_y_re-33;8;33;Quiero agregar información.;SIN_INTENCION;otro;deaf;statement;A|B;;AUMENTAR|NARRAR|QUERER;;;;;
n-s8-declaraciones_y_re-34;8;34;Aquí hay un error en mi nombre.;SIN_INTENCION;otro;deaf;statement;A|B;;AQUÍ|NOMBRE|MAL;;;;;
n-s8-declaraciones_y_re-35;8;35;Quiero leer antes de escribir mi nombre.;SIN_INTENCION;otro;deaf;statement;A|B;;LEER|NOMBRE|ESCRIBIR|QUERER;;;;;
n-s8-declaraciones_y_re-36;8;36;Prefiero recibir mensajes escritos.;SIN_INTENCION;otro;deaf;statement;A|B;;ESCRIBIR|ENVIAR|MEJOR;;;;;
n-s8-declaraciones_y_re-37;8;37;Cambié de dirección.;SIN_INTENCION;otro;deaf;statement;A|B;;DIRECCIÓN|CAMBIAR;;;;;
n-s8-declaraciones_y_re-38;8;38;Cambié de número de celular.;SIN_INTENCION;otro;deaf;statement;A|B;;CELULAR|CAMBIAR;;;;NÚM(...);
n-s8-declaraciones_y_re-39;8;39;Quiero saber si la investigación continúa.;SIN_INTENCION;otro;deaf;statement;A|B;;INVESTIGACIÓN|CONTINUAR|SABER|QUERER;;;;;
n-s8-declaraciones_y_re-40;8;40;Necesito un abogado.;SIN_INTENCION;otro;deaf;statement;A|B;;ABOGADO|NECESITAR;;;;;
n-s8-declaraciones_y_re-41;8;41;No tengo dinero para un abogado.;SIN_INTENCION;otro;deaf;statement;A|B;;ABOGADO|BILLETES|TENER;;;;;
n-s8-declaraciones_y_re-42;8;42;Quiero asistencia de SEPDAVI.;SIN_INTENCION;otro;deaf;statement;A|B;;ASISTENCIA|QUERER;;;;d(SEPDAVI);
n-s8-declaraciones_y_re-43;8;43;Necesito defensa pública.;SIN_INTENCION;otro;deaf;statement;A|B;;ABOGADO|NECESITAR;;;;d(SEPDEP);
n-s8-declaraciones_y_re-44;8;44;Me dijeron que debo ir a la Fiscalía.;SIN_INTENCION;otro;deaf;statement;A|B;;IR|NECESITAR;;;;d(FISCALÍA);
n-s8-declaraciones_y_re-45;8;45;Recibí una resolución.;SIN_INTENCION;otro;deaf;statement;A|B;;RESOLUCIÓN|RECIBIR;;;;;
n-s8-declaraciones_y_re-46;8;46;Tengo que presentarme ante un juez.;SIN_INTENCION;otro;deaf;statement;A|B;;JUEZ|PRESENTAR|NECESITAR;;;;;
n-s8-declaraciones_y_re-47;8;47;Necesito intérprete para hablar con el juez.;SIN_INTENCION;otro;deaf;statement;A|B;;JUEZ|INTÉRPRETE|NECESITAR;;;;;
n-s8-declaraciones_y_re-48;8;48;No entiendo este papel.;SIN_INTENCION;otro;deaf;statement;A|B;;PAPEL|COMPRENDER;;;;;
n-s8-declaraciones_y_re-49;8;49;Explíqueme despacio, por favor.;SIN_INTENCION;otro;deaf;statement;A|B;;LENTO|EXPLICAR|POR_FAVOR;;;;;
n-s8-declaraciones_y_re-50;8;50;Ahora sí entiendo.;SIN_INTENCION;otro;deaf;statement;A|B;;AHORA|COMPRENDER;;;;;
n-s8-declaraciones_y_re-51;8;51;Gracias por su ayuda.;SIN_INTENCION;otro;deaf;statement;A|B;;AYUDAR|GRACIAS;;;;;
