pregunta;dominio;formulacion;control;campos;modo;recorridos;nodos;opcion;etiqueta;glosas;acepcionNucleo;estado;salida;editor;frase;fraseSinValor;sinSena;rutas
Q.DIN.COMPROBANTE;dinero;¿Tiene algún comprobante?;polar3;polaridad;frase;engano_dinero#4;n-s6-engaño_dinero_y_t-04;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si tengo comprobante.;;False;recorrido|respuesta al funcionario
Q.DIN.COMPROBANTE_TIPO;dinero;¿Qué comprobante tiene?;seleccion_multiple;documento|evidencia;fragmento;engano_dinero#5;;banco;Comprobante del banco;PAPEL|BANCO;documento;afirmado;False;;el comprobante del banco;;False;recorrido
Q.DIN.COMPROBANTE_TIPO;dinero;¿Qué comprobante tiene?;seleccion_multiple;documento|evidencia;fragmento;engano_dinero#5;;factura;Factura;FACTURA;documento|evidencia;afirmado;False;;una factura;;False;recorrido
Q.DIN.COMPROBANTE_TIPO;dinero;¿Qué comprobante tiene?;seleccion_multiple;documento|evidencia;fragmento;engano_dinero#5;;capturas;Capturas en mi celular;FOTOS|CELULAR;evidencia|objeto;afirmado;False;;capturas en mi celular;;False;recorrido
Q.DIN.COMPROBANTE_TIPO;dinero;¿Qué comprobante tiene?;seleccion_multiple;documento|evidencia;fragmento;engano_dinero#5;;papel;Un papel (no sé cómo se llama);PAPEL;documento;afirmado;False;;{Q.DOC.ACLARAR|un papel};;False;recorrido
Q.DIN.ENGANO;dinero;¿Quiere decir que lo engañaron?;polar2;polaridad;frase;engano_dinero#8;;si;Sí, me engañaron;SÍ|ENGAÑAR;polaridad;afirmado;False;;Me engañaron con dinero.;;False;recorrido
Q.DIN.ENGANO;dinero;¿Quiere decir que lo engañaron?;polar2;polaridad;frase;engano_dinero#8;;no;Prefiero no decirlo así;NO;polaridad;negado;False;;;;False;recorrido
Q.DIN.ENTREGO;dinero;¿Entregó o envió dinero?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-01;si;Sí;SÍ;polaridad;afirmado;False;;Sí, entregué dinero.;;False;respuesta al funcionario
Q.DIN.ENTREGO;dinero;¿Entregó o envió dinero?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-01;no;No;NO;polaridad;negado;False;;No entregué ni envié dinero.;;False;respuesta al funcionario
Q.DIN.ENTREGO;dinero;¿Entregó o envió dinero?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-01;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No estoy seguro.;;False;respuesta al funcionario
Q.DIN.INTERNET;dinero;¿Se comunicaron por internet?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-07;si;Sí;SÍ;polaridad;afirmado;False;;Sí, nos comunicamos por internet.;;False;respuesta al funcionario
Q.DIN.INTERNET;dinero;¿Se comunicaron por internet?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-07;no;No;NO;polaridad;negado;False;;No nos comunicamos por internet.;;False;respuesta al funcionario
Q.DIN.INTERNET;dinero;¿Se comunicaron por internet?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-07;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé.;;False;respuesta al funcionario
Q.DIN.MECANISMO;dinero;¿Cómo entregó el dinero?;seleccion_unica;medio;frase;engano_dinero#1;;mano;En mano, en efectivo;DAR|BILLETES;hecho|medio;afirmado;False;;Entregué {Q.DIN.MONTO|dinero} en mano.;;False;recorrido
Q.DIN.MECANISMO;dinero;¿Cómo entregó el dinero?;seleccion_unica;medio;frase;engano_dinero#1;;banco;Por un banco;BANCO|ENVIAR;lugar|medio|modificador;afirmado;False;;Envié {Q.DIN.MONTO|dinero} mediante un banco.;;False;recorrido
Q.DIN.MECANISMO;dinero;¿Cómo entregó el dinero?;seleccion_unica;medio;frase;engano_dinero#1;;internet;Por internet;INTERNET|ENVIAR;medio;afirmado;False;;Envié {Q.DIN.MONTO|dinero} por internet.;;False;recorrido
Q.DIN.MECANISMO;dinero;¿Cómo entregó el dinero?;seleccion_unica;medio;frase;engano_dinero#1;;celular;Desde el celular;CELULAR|ENVIAR;medio|objeto;afirmado;False;;Envié {Q.DIN.MONTO|dinero} desde el celular.;;False;recorrido
Q.DIN.MECANISMO;dinero;¿Cómo entregó el dinero?;seleccion_unica;medio;frase;engano_dinero#1;;otro;Otra forma (escribir);;;afirmado;False;texto_detalle;Entregué {Q.DIN.MONTO|dinero} de esta forma: «{texto}».;;False;recorrido
Q.DIN.MECANISMO;dinero;¿Cómo entregó el dinero?;seleccion_unica;medio;frase;engano_dinero#1;;ninguno;No entregué dinero;NO;polaridad;negado;True;;No entregué ni envié dinero.;;False;recorrido
Q.DIN.MECANISMO;dinero;¿Cómo entregó el dinero?;seleccion_unica;medio;frase;engano_dinero#1;;no_recuerda;No recuerdo;RECORDAR|NO;hecho|polaridad;desconocido;True;;No recuerdo cómo entregué el dinero.;;False;recorrido
Q.DIN.MONTO;dinero;¿Cuánto dinero fue?;seleccion_unica;cantidad;fragmento;engano_dinero#2;n-s6-engaño_dinero_y_t-02;monto;Escribir el monto;;;afirmado;False;monto;{moneda} {monto};;False;recorrido|respuesta al funcionario
Q.DIN.MONTO;dinero;¿Cuánto dinero fue?;seleccion_unica;cantidad;fragmento;engano_dinero#2;n-s6-engaño_dinero_y_t-02;no_recuerda;No recuerdo;RECORDAR|NO;hecho|polaridad;desconocido;True;;dinero;;False;recorrido|respuesta al funcionario
Q.DIN.POR_BANCO;dinero;¿Lo hizo mediante un banco?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-03;si;Sí;SÍ;polaridad;afirmado;False;;Sí, lo envié mediante un banco.;;False;respuesta al funcionario
Q.DIN.POR_BANCO;dinero;¿Lo hizo mediante un banco?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-03;no;No;NO;polaridad;negado;False;;No fue mediante un banco.;;False;respuesta al funcionario
Q.DIN.POR_BANCO;dinero;¿Lo hizo mediante un banco?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-03;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé.;;False;respuesta al funcionario
Q.DIN.RECEPTOR;dinero;¿Quién recibió el dinero?;persona_identidad;persona;frase;engano_dinero#3;;nombre;Sé su nombre;;;afirmado;False;texto_nombre;Recibió el dinero {nombre}.;;False;recorrido
Q.DIN.RECEPTOR;dinero;¿Quién recibió el dinero?;persona_identidad;persona;frase;engano_dinero#3;;solo_numero;Solo tengo su número;;;afirmado;False;telefono;"No conozco su nombre; tengo su número: {telefono}.";;False;recorrido
Q.DIN.RECEPTOR;dinero;¿Quién recibió el dinero?;persona_identidad;persona;frase;engano_dinero#3;;hombre;Un hombre (no sé quién);HOMBRE;persona;afirmado;False;;Lo recibió un hombre que no conozco.;;False;recorrido
Q.DIN.RECEPTOR;dinero;¿Quién recibió el dinero?;persona_identidad;persona;frase;engano_dinero#3;;mujer;Una mujer (no sé quién);MUJER;persona;afirmado;False;;Lo recibió una mujer que no conozco.;;False;recorrido
Q.DIN.RECEPTOR;dinero;¿Quién recibió el dinero?;persona_identidad;persona;frase;engano_dinero#3;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé quién recibió el dinero.;;False;recorrido
Q.DIN.RECEPTOR_NOMBRE;dinero;¿Conoce el nombre de la persona?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-05;si;Sí;SÍ;polaridad;afirmado;False;texto_nombre;Sí, se llama {nombre}.;Sí, conozco su nombre.;False;respuesta al funcionario
Q.DIN.RECEPTOR_NOMBRE;dinero;¿Conoce el nombre de la persona?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-05;no;No;NO;polaridad;negado;False;;No conozco su nombre.;;False;respuesta al funcionario
Q.DIN.RECEPTOR_NOMBRE;dinero;¿Conoce el nombre de la persona?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-05;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No estoy seguro de su nombre.;;False;respuesta al funcionario
Q.DIN.RECEPTOR_NUMERO;dinero;¿Tiene su número de celular?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-06;si;Sí;SÍ;polaridad;afirmado;False;telefono;Sí, su número es {telefono}.;Sí, tengo su número.;False;respuesta al funcionario
Q.DIN.RECEPTOR_NUMERO;dinero;¿Tiene su número de celular?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-06;no;No;NO;polaridad;negado;False;;No tengo su número.;;False;respuesta al funcionario
Q.DIN.RECEPTOR_NUMERO;dinero;¿Tiene su número de celular?;polar3;polaridad;frase;;n-s6-engaño_dinero_y_t-06;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No estoy seguro de tenerlo.;;False;respuesta al funcionario
Q.DOC.ACLARAR;documento;¿Qué papel es?;seleccion_unica;documento|evidencia;fragmento;denuncia_robo#3|engano_dinero#6;;carnet;Carnet de identidad;PAPEL|IDENTIDAD;documento;afirmado;False;;mi carnet de identidad;;False;recorrido
Q.DOC.ACLARAR;documento;¿Qué papel es?;seleccion_unica;documento|evidencia;fragmento;denuncia_robo#3|engano_dinero#6;;comprobante_banco;Comprobante del banco;PAPEL|BANCO;documento;afirmado;False;;el comprobante del banco;;False;recorrido
Q.DOC.ACLARAR;documento;¿Qué papel es?;seleccion_unica;documento|evidencia;fragmento;denuncia_robo#3|engano_dinero#6;;citacion;Citación;PAPEL|CONVOCAR;documento;afirmado;False;;una citación;;False;recorrido
Q.DOC.ACLARAR;documento;¿Qué papel es?;seleccion_unica;documento|evidencia;fragmento;denuncia_robo#3|engano_dinero#6;;resolucion;Resolución;RESOLUCIÓN;documento;afirmado;False;;una resolución;;False;recorrido
Q.DOC.ACLARAR;documento;¿Qué papel es?;seleccion_unica;documento|evidencia;fragmento;denuncia_robo#3|engano_dinero#6;;certificado;Certificado;CERTIFICADO;documento|evidencia;afirmado;False;;un certificado;;False;recorrido
Q.DOC.ACLARAR;documento;¿Qué papel es?;seleccion_unica;documento|evidencia;fragmento;denuncia_robo#3|engano_dinero#6;;fotocopia;Fotocopia;FOTOCOPIA;documento;afirmado;False;;una fotocopia;;False;recorrido
Q.DOC.ACLARAR;documento;¿Qué papel es?;seleccion_unica;documento|evidencia;fragmento;denuncia_robo#3|engano_dinero#6;;factura;Factura;FACTURA;documento|evidencia;afirmado;False;;una factura;;False;recorrido
Q.DOC.ACLARAR;documento;¿Qué papel es?;seleccion_unica;documento|evidencia;fragmento;denuncia_robo#3|engano_dinero#6;;otro;Otro (escribir cómo se llama);;;afirmado;False;texto_detalle;un documento: «{texto}»;;False;recorrido
Q.DOC.ACLARAR;documento;¿Qué papel es?;seleccion_unica;documento|evidencia;fragmento;denuncia_robo#3|engano_dinero#6;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;un papel que no sé qué documento es;;False;recorrido
Q.EVI.CAJA;evidencia;¿Tiene la caja del celular?;polar3;polaridad;frase;;;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo la caja del celular.;;False;parte de otra respuesta
Q.EVI.CAJA;evidencia;¿Tiene la caja del celular?;polar3;polaridad;frase;;;no;No;NO;polaridad;negado;False;;No tengo la caja del celular.;;False;parte de otra respuesta
Q.EVI.CAJA;evidencia;¿Tiene la caja del celular?;polar3;polaridad;frase;;;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si tengo la caja.;;False;parte de otra respuesta
Q.EVI.CAMARAS;evidencia;¿Hay cámaras o video del lugar?;polar3;polaridad;frase;;n-s6-robo_hurto_y_obje-09;si;Sí;SÍ;polaridad;afirmado;False;;Sí, hay video del lugar.;;False;respuesta al funcionario
Q.EVI.CAMARAS;evidencia;¿Hay cámaras o video del lugar?;polar3;polaridad;frase;;n-s6-robo_hurto_y_obje-09;no;No;NO;polaridad;negado;False;;No hay cámaras en ese lugar.;;False;respuesta al funcionario
Q.EVI.CAMARAS;evidencia;¿Hay cámaras o video del lugar?;polar3;polaridad;frase;;n-s6-robo_hurto_y_obje-09;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si hay cámaras.;;False;respuesta al funcionario
Q.EVI.CERTIFICADO;evidencia;¿Tiene un certificado?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-08;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo un certificado.;;False;respuesta al funcionario
Q.EVI.CERTIFICADO;evidencia;¿Tiene un certificado?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-08;no;No;NO;polaridad;negado;False;;No tengo certificado.;;False;respuesta al funcionario
Q.EVI.CERTIFICADO;evidencia;¿Tiene un certificado?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-08;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si tengo un certificado.;;False;respuesta al funcionario
Q.EVI.FACTURA;evidencia;¿Tiene la factura?;polar3;polaridad;frase;denuncia_robo#22;;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo la factura.;;False;recorrido
Q.EVI.FACTURA;evidencia;¿Tiene la factura?;polar3;polaridad;frase;denuncia_robo#22;;no;No;NO;polaridad;negado;False;;No tengo la factura.;;False;recorrido
Q.EVI.FACTURA;evidencia;¿Tiene la factura?;polar3;polaridad;frase;denuncia_robo#22;;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si tengo la factura.;;False;recorrido
Q.EVI.FOTOS;evidencia;¿Tiene fotografías?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-05;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo fotos.;;False;respuesta al funcionario
Q.EVI.FOTOS;evidencia;¿Tiene fotografías?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-05;no;No;NO;polaridad;negado;False;;No tengo fotos.;;False;respuesta al funcionario
Q.EVI.FOTOS;evidencia;¿Tiene fotografías?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-05;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si tengo fotos.;;False;respuesta al funcionario
Q.EVI.MOSTRAR_AHORA;evidencia;¿Puede mostrarlo ahora?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-07;si;Sí;SÍ;polaridad;afirmado;False;;Sí, puedo mostrarlo ahora.;;False;respuesta al funcionario
Q.EVI.MOSTRAR_AHORA;evidencia;¿Puede mostrarlo ahora?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-07;no;No;NO;polaridad;negado;False;;No puedo mostrarlo ahora.;;False;respuesta al funcionario
Q.EVI.MOSTRAR_AHORA;evidencia;¿Puede mostrarlo ahora?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-07;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si puedo mostrarlo ahora.;;False;respuesta al funcionario
Q.EVI.PRESENTAR;evidencia;¿Desea presentar estos elementos?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-10;si;Sí;SÍ;polaridad;afirmado;False;;Sí, quiero presentar estos elementos.;;False;respuesta al funcionario
Q.EVI.PRESENTAR;evidencia;¿Desea presentar estos elementos?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-10;no;No;NO;polaridad;negado;False;;Por ahora no quiero presentarlos.;;False;respuesta al funcionario
Q.EVI.PRESENTAR;evidencia;¿Desea presentar estos elementos?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-10;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;Todavía no lo sé.;;False;respuesta al funcionario
Q.EVI.QUE_TIENE;evidencia;¿Tiene fotos, video u otra cosa que pueda mostrar?;polar3;polaridad;frase;denuncia_robo#24|violencia#16;;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo {Q.EVI.TIPOS|algo que puedo mostrar}.;;False;recorrido
Q.EVI.QUE_TIENE;evidencia;¿Tiene fotos, video u otra cosa que pueda mostrar?;polar3;polaridad;frase;denuncia_robo#24|violencia#16;;no;No;NO;polaridad;negado;False;;No tengo fotos, video ni otra cosa para mostrar.;;False;recorrido
Q.EVI.QUE_TIENE;evidencia;¿Tiene fotos, video u otra cosa que pueda mostrar?;polar3;polaridad;frase;denuncia_robo#24|violencia#16;;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si tengo algo para mostrar.;;False;recorrido
Q.EVI.RESOLUCION_PREVIA;evidencia;¿Tiene una resolución o papel previo?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-09;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo un documento anterior.;;False;respuesta al funcionario
Q.EVI.RESOLUCION_PREVIA;evidencia;¿Tiene una resolución o papel previo?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-09;no;No;NO;polaridad;negado;False;;No tengo ningún documento anterior.;;False;respuesta al funcionario
Q.EVI.RESOLUCION_PREVIA;evidencia;¿Tiene una resolución o papel previo?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-09;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si tengo un documento anterior.;;False;respuesta al funcionario
Q.EVI.TIPOS;evidencia;¿Qué tiene?;seleccion_multiple;evidencia|documento;fragmento;denuncia_robo#25|violencia#17;;fotos;Fotos;FOTOS;evidencia|objeto;afirmado;False;;fotos;;False;recorrido
Q.EVI.TIPOS;evidencia;¿Qué tiene?;seleccion_multiple;evidencia|documento;fragmento;denuncia_robo#25|violencia#17;;video;Video;VIDEO;evidencia;afirmado;False;;un video;;False;recorrido
Q.EVI.TIPOS;evidencia;¿Qué tiene?;seleccion_multiple;evidencia|documento;fragmento;denuncia_robo#25|violencia#17;;certificado;Certificado;CERTIFICADO;documento|evidencia;afirmado;False;;un certificado;;False;recorrido
Q.EVI.TIPOS;evidencia;¿Qué tiene?;seleccion_multiple;evidencia|documento;fragmento;denuncia_robo#25|violencia#17;;otro;Otra cosa (escribir);;;afirmado;False;texto_detalle;«{texto}»;;False;recorrido
Q.EVI.TRAE_COPIA;evidencia;¿La tiene aquí con usted?;polar3;polaridad;frase;denuncia_robo#23;;si;Sí;SÍ;polaridad;afirmado;False;;La tengo aquí.;;False;recorrido
Q.EVI.TRAE_COPIA;evidencia;¿La tiene aquí con usted?;polar3;polaridad;frase;denuncia_robo#23;;no;No;NO;polaridad;negado;False;;No la tengo aquí.;;False;recorrido
Q.EVI.TRAE_COPIA;evidencia;¿La tiene aquí con usted?;polar3;polaridad;frase;denuncia_robo#23;;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si la traje.;;False;recorrido
Q.EVI.VIDEO;evidencia;¿Tiene video?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-06;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo un video.;;False;respuesta al funcionario
Q.EVI.VIDEO;evidencia;¿Tiene video?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-06;no;No;NO;polaridad;negado;False;;No tengo video.;;False;respuesta al funcionario
Q.EVI.VIDEO;evidencia;¿Tiene video?;polar3;polaridad;frase;;n-s6-testigos_fotos_v-06;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si tengo video.;;False;respuesta al funcionario
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;celular;Celular;CELULAR;medio|objeto;afirmado;False;;el celular;;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;dinero;Dinero;BILLETES;modificador|objeto;afirmado;False;monto;{moneda} {monto};dinero;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;mochila;Mochila;MOCHILA;objeto|prenda;afirmado;False;;la mochila;;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;bolsa;Bolsa;BOLSA;objeto|prenda;afirmado;False;;la bolsa;;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;chamarra;Chamarra;CHAMARRA;objeto|prenda;afirmado;False;;la chamarra;;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;gorra;Gorra;GORRA;objeto|prenda;afirmado;False;;la gorra;;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;lentes;Lentes;LENTES;objeto|prenda;afirmado;False;;los lentes;;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;carnet;Carnet de identidad;PAPEL|IDENTIDAD;documento;afirmado;False;;mi carnet de identidad;;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;papel;Un papel (no sé cómo se llama);PAPEL;documento;afirmado;False;;{Q.DOC.ACLARAR|un papel};;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;otro;Otro objeto (escribir);;;afirmado;False;texto_detalle;«{texto}»;;False;recorrido
Q.FALTA.QUE;robo;¿Qué le falta?;seleccion_multiple;objeto|documento|prenda;fragmento;denuncia_robo#4;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;algo que no sé precisar;;False;recorrido
Q.HEC.AMPLIAR;relato;¿Quiere agregar algo que no le pregunté?;polar2;polaridad;frase;;n-s6-inicio_de_denuncia-12;si;Sí;SÍ;polaridad;afirmado;False;;Sí, quiero agregar información.;;False;respuesta al funcionario
Q.HEC.AMPLIAR;relato;¿Quiere agregar algo que no le pregunté?;polar2;polaridad;frase;;n-s6-inicio_de_denuncia-12;no;No;NO;polaridad;negado;False;;No, eso es todo.;;False;respuesta al funcionario
Q.HEC.ESCAPE_ACTOR;relato;¿Quién escapó?;seleccion_unica;persona;frase;denuncia_robo#7;;yo;Yo logré escapar;YO|ESCAPAR;persona;afirmado;False;;Logré escapar.;;False;recorrido
Q.HEC.ESCAPE_ACTOR;relato;¿Quién escapó?;seleccion_unica;persona;frase;denuncia_robo#7;;autor;La persona que me robó;LADRÓN|ESCAPAR;persona;afirmado;False;;La persona que me robó escapó.;;False;recorrido
Q.HEC.ESCAPE_ACTOR;relato;¿Quién escapó?;seleccion_unica;persona;frase;denuncia_robo#7;;otra;Otra persona;ÉL|ESCAPAR;persona;afirmado;False;;Otra persona escapó.;;False;recorrido
Q.HEC.ESCAPE_ACTOR;relato;¿Quién escapó?;seleccion_unica;persona;frase;denuncia_robo#7;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;Alguien escapó, pero no sé quién.;;False;recorrido
Q.HEC.PERDIDA_TIPO;relato;¿Lo perdió usted o cree que se lo quitaron?;alternativa;hecho;frase;denuncia_robo#5;;perdi;Lo perdí;PERDER;hecho;afirmado;False;;Perdí {Q.FALTA.QUE|algo}.;;False;recorrido
Q.HEC.PERDIDA_TIPO;relato;¿Lo perdió usted o cree que se lo quitaron?;alternativa;hecho;frase;denuncia_robo#5;;robo_creo;Creo que me lo robaron;ROBAR;hecho;afirmado;False;;"Me falta {Q.FALTA.QUE|algo}; creo que fue un robo, pero no estoy seguro.";;False;recorrido
Q.HEC.PERDIDA_TIPO;relato;¿Lo perdió usted o cree que se lo quitaron?;alternativa;hecho;frase;denuncia_robo#5;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;Me falta {Q.FALTA.QUE|algo} y no sé si fue una pérdida o un robo.;;False;recorrido
Q.HEC.QUE_OCURRIO;relato;¿Qué ocurrió?;seleccion_multiple;hecho;frase;denuncia_robo#1;n-s6-inicio_de_denuncia-02;robar;Me robaron;ROBAR;hecho;afirmado;False;;Me robaron {Q.ROB.QUE|algo}.;;False;recorrido|respuesta al funcionario
Q.HEC.QUE_OCURRIO;relato;¿Qué ocurrió?;seleccion_multiple;hecho;frase;denuncia_robo#1;n-s6-inicio_de_denuncia-02;perder;Me falta algo (lo perdí o no sé);PERDER;hecho;afirmado;False;;;;False;recorrido|respuesta al funcionario
Q.HEC.QUE_OCURRIO;relato;¿Qué ocurrió?;seleccion_multiple;hecho;frase;denuncia_robo#1;n-s6-inicio_de_denuncia-02;danar;Dañaron algo mío;DAÑAR;hecho;afirmado;False;;Dañaron {Q.DAN.QUE|algo mío}.;;False;recorrido|respuesta al funcionario
Q.HEC.QUE_OCURRIO;relato;¿Qué ocurrió?;seleccion_multiple;hecho;frase;denuncia_robo#1;n-s6-inicio_de_denuncia-02;escapar;Alguien escapó;ESCAPAR;hecho;afirmado;False;;;;False;recorrido|respuesta al funcionario
Q.HEC.RELATO_ORDENADO;relato;¿Puede contarme lo sucedido desde el inicio?;polar2;polaridad;frase;;n-s6-inicio_de_denuncia-03;si;Sí;SÍ;polaridad;afirmado;False;;Sí. Quiero explicar lo sucedido desde el principio.;;False;respuesta al funcionario
Q.HEC.RELATO_ORDENADO;relato;¿Puede contarme lo sucedido desde el inicio?;polar2;polaridad;frase;;n-s6-inicio_de_denuncia-03;no;No;NO;polaridad;negado;False;;Ahora no puedo contarlo.;;False;respuesta al funcionario
Q.ID.ACOMPANANTE;identificacion;¿Vino solo o acompañado?;alternativa;compania;frase;identificacion#6;n-s6-acceso_comunicativ-12;solo;Vine solo/a;1;cantidad|compania;afirmado;False;;Vine sin acompañante.;;False;recorrido|respuesta al funcionario
Q.ID.ACOMPANANTE;identificacion;¿Vino solo o acompañado?;alternativa;compania;frase;identificacion#6;n-s6-acceso_comunicativ-12;acompanado;Vine con alguien;ACOMPAÑAR;compania;afirmado;False;;Vine con {Q.ID.ACOMPANANTE_QUIEN|otra persona}.;;False;recorrido|respuesta al funcionario
Q.ID.ACOMPANANTE_QUIEN;identificacion;¿Quién le acompaña?;seleccion_unica;persona|servicio;fragmento;identificacion#7;;interprete;Intérprete;INTÉRPRETE;persona|servicio;afirmado;False;;un intérprete;;False;recorrido
Q.ID.ACOMPANANTE_QUIEN;identificacion;¿Quién le acompaña?;seleccion_unica;persona|servicio;fragmento;identificacion#7;;mama;Mi mamá;MAMÁ;persona;afirmado;False;;mi mamá;;False;recorrido
Q.ID.ACOMPANANTE_QUIEN;identificacion;¿Quién le acompaña?;seleccion_unica;persona|servicio;fragmento;identificacion#7;;hermano;Mi hermano;HERMANO;persona;afirmado;False;;mi hermano;;False;recorrido
Q.ID.ACOMPANANTE_QUIEN;identificacion;¿Quién le acompaña?;seleccion_unica;persona|servicio;fragmento;identificacion#7;;hermana;Mi hermana;HERMANA;persona;afirmado;False;;mi hermana;;False;recorrido
Q.ID.ACOMPANANTE_QUIEN;identificacion;¿Quién le acompaña?;seleccion_unica;persona|servicio;fragmento;identificacion#7;;hijo;Mi hijo;HIJO;persona;afirmado;False;;mi hijo;;False;recorrido
Q.ID.ACOMPANANTE_QUIEN;identificacion;¿Quién le acompaña?;seleccion_unica;persona|servicio;fragmento;identificacion#7;;hija;Mi hija;HIJA;persona;afirmado;False;;mi hija;;False;recorrido
Q.ID.ACOMPANANTE_QUIEN;identificacion;¿Quién le acompaña?;seleccion_unica;persona|servicio;fragmento;identificacion#7;;amigo;Un amigo;AMIGO;persona;afirmado;False;;un amigo;;False;recorrido
Q.ID.ACOMPANANTE_QUIEN;identificacion;¿Quién le acompaña?;seleccion_unica;persona|servicio;fragmento;identificacion#7;;otro;Otra persona (escribir);;;afirmado;False;texto_detalle;«{texto}»;;False;recorrido
Q.ID.APELLIDO;identificacion;¿Puede deletrear su apellido?;seleccion_unica;nombre;frase;;n-s6-acceso_comunicativ-08;apellido;Escribir mi apellido;;;afirmado;False;texto_nombre;Mi apellido es {nombre}.;;False;respuesta al funcionario
