id;glosa;claseLexica;significadoDocumentado;idCorpus;referenciaCorpus;estadoValidacion;rolEnsamblador;funcionSemantica;necesidades;fuenteNecesidad;soloTransversal;camposRespuesta;actosComunicativos;nodosQueLaUsan;representacion;avatar;restriccion;motivoSinUso
g107;IR;sena_lexica;Ir;M1-T12-19;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|institution|polarity;question|statement;6;sena_documentada;placeholder;;
g108;NOSOTROS;sena_lexica;Nosotros;M1-T14-03;M1 · Pronombres · p.113;trazada en corpus §12;sujeto;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g109;TARDE;sena_lexica;Tarde;M2-T05-02;M2 · Tiempo II · p.53;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;uso en el grafo;True;time;statement;1;sena_documentada;placeholder;;
g110;DÍA;sena_lexica;Día;M1-T15-02;M1 · Tiempo · p.117;trazada en corpus §12;tiempo;tiempo;consultas|tramites;uso en el grafo;False;polarity;question;1;sena_documentada;placeholder;;
g111;TIENDA;sena_lexica;Tienda;M3-T16-17;M3 · Lugares II · p.123;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;placeholder;;
g112;ACOMPAÑAR;sena_lexica;Acompañar;M3-T04-02;M3 · Verbos III · p.55;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;True;polarity;question;1;sena_documentada;placeholder;;
g113;ALLÍ;sena_lexica;Allí;M2-T20-10;M2 · Adverbios de lugar · p.119;trazada en corpus §12;lugar;lugar;denuncias;uso en el grafo;False;person|polarity;question;1;sena_documentada;placeholder;;
g114;TEMPRANO;sena_lexica;Temprano;M2-T05-01;M2 · Tiempo II · p.53;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g115;CONOCER;sena_lexica;Conocido;M3-T01-01;M3 · Diálogo · p.37;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;person|polarity;question|statement;4;sena_documentada;placeholder;;
g116;DESPUÉS;sena_lexica;Después;M2-T05-03;M2 · Tiempo II · p.53;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|polarity;question;2;sena_documentada;placeholder;;
g117;INTERNET;sena_lexica;Internet;M2-T07-12;M2 · Sustantivo II · p.61;trazada en corpus §12;objeto;objeto;denuncias;uso en el grafo;False;polarity;question;2;sena_documentada;placeholder;;
g118;PEDIR;sena_lexica;Pedir;M1-T12-14;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;denuncias;uso en el grafo;False;polarity;question;1;sena_documentada;placeholder;;
g119;VERDAD;sena_lexica;Verdad;M2-T01-25;M2 · Opuestos · p.33;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;True;object|polarity;question;1;sena_documentada;placeholder;;
g120;AL_LADO;sena_lexica;El;M2-T20-06;M2 · Adverbios de lugar · p.119;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g121;BANCO;sena_lexica;Banco;M3-T16-05;M3 · Lugares II · p.123;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|object|polarity;question|statement;4;sena_documentada;placeholder;;
g122;BRAZO;sena_lexica;Brazo;M1-T03-05;M1 · Cuerpo humano · p.63;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;placeholder;;
g123;HIJA;sena_lexica;Hija;M1-T02-11;M1 · Familia · p.59;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g124;JUEVES;sena_lexica;Jueves;M1-T17-04;M1 · Días de la semana · p.127;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g125;LLEVAR;sena_lexica;Llevar;M3-T12-04;M3 · Opuestos II · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g126;MUCHO;sena_lexica;Mucho;M2-T01-11;M2 · Opuestos · p.33;trazada en corpus §12;descriptor;descriptor;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g127;NEGRO;sena_lexica;Negro;M1-T07-08;M1 · Colores · p.81;trazada en corpus §12;descriptor;descriptor;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g128;NUEVO;sena_lexica;Nuevo;M4-T04-18;M4 · Opuestos II · p.51;trazada en corpus §12;descriptor;descriptor;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g129;PERDER;sena_lexica;Perder;M4-T04-14;M4 · Opuestos II · p.51;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|object|polarity;question|statement;3;sena_documentada;placeholder;No equivale a ROBAR. El backend no puede derivar una afirmación de robo de una pérdida (auditoría 2026-09).;
g130;PRIMERA_VEZ;sena_lexica;Primera vez;M3-T01-22;M3 · Diálogo · p.37;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question;2;sena_documentada;placeholder;;
g131;PÁGINA;sena_lexica;Página;M3-T08-04;M3 · Escuela · p.77;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g132;SELLO;sena_lexica;Sello;M3-T07-09;M3 · Sustantivos III · p.73;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;uso en el grafo;True;polarity;question;1;sena_documentada;placeholder;;
g133;ARREGLAR;sena_lexica;Arreglar;M4-T02-18;M4 · Verbos IV · p.39;trazada en corpus §12;verboAccion;accion;denuncias;uso en el grafo;False;polarity;question;1;sena_documentada;placeholder;;
g134;AUMENTAR;sena_lexica;Aumentar;M3-T12-15;M3 · Opuestos II · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|object|polarity;question|statement;4;sena_documentada;placeholder;;
g135;AVISAR;sena_lexica;Avisar;M3-T04-03;M3 · Verbos III · p.55;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;object|polarity;question;5;sena_documentada;placeholder;;
g136;AZUL;sena_lexica;Azul;M1-T07-04;M1 · Colores · p.81;trazada en corpus §12;descriptor;descriptor;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g137;CAMBIAR;sena_lexica;Cambiar;M1-T12-01;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;object|place|polarity;question|statement;4;sena_documentada;placeholder;;
g138;COMPUTADORA;sena_lexica;Computadora;M2-T07-14;M2 · Sustantivo II · p.61;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g139;CONTESTAR_DOS_VECES;sena_lexica;Contestar dos veces;M3-T01-11;M3 · Diálogo · p.37;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g140;DIRECCIÓN;sena_lexica;Dirección;M3-T16-03;M3 · Lugares II · p.123;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;uso en el grafo;False;place|polarity;question|statement;2;sena_documentada;placeholder;;
g141;DOCTOR;sena_lexica;Doctor;M2-T10-13;M2 · Trabajo · p.79;trazada en corpus §12;servicio;interaccion;consultas|denuncias|tramites;uso en el grafo;False;evidence|polarity;question|statement;4;sena_documentada;placeholder;;
g142;ESTAR_DE_ACUERDO;sena_lexica;Estar de acuerdo;M3-T02-25;M3 · Política I · p.43;trazada en corpus §12;marcador;marcador;consultas|tramites;uso en el grafo;False;polarity;question;1;sena_documentada;placeholder;;
g143;GRATIS;sena_lexica;Gratis;M4-T09-12;M4 · Diálogo II · p.83;trazada en corpus §12;descriptor;descriptor;consultas|tramites;uso en el grafo;False;institution|polarity;question;3;sena_documentada;placeholder;;
g144;HERMANA;sena_lexica;Hermana;M1-T02-13;M1 · Familia · p.59;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g145;HERMANO;sena_lexica;Hermano;M1-T02-12;M1 · Familia · p.59;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g146;JAMÁS;sena_lexica;Jamás;M3-T17-14;M3 · Tiempo III · p.129;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g147;MAL;sena_lexica;Mal;M1-T01-13;M1 · Saludos · p.55;trazada en corpus §12;descriptor;descriptor;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;2;sena_documentada;placeholder;;
g148;MEJOR;sena_lexica;Mejor;M4-T04-21;M4 · Opuestos II · p.51;trazada en corpus §12;descriptor;descriptor;consultas|denuncias|tramites;uso en el grafo;False;free_text|polarity;question|statement;5;sena_documentada;placeholder;;
g149;MERCADO;sena_lexica;Mercado;M1-T05-10;M1 · Lugares · p.71;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;uso en el grafo;True;place;statement;1;sena_documentada;placeholder;;
g150;MES;sena_lexica;Mes;M1-T15-01;M1 · Tiempo · p.117;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g151;MOCHILA;sena_lexica;Mochila;M3-T07-02;M3 · Sustantivos III · p.73;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;uso en el grafo;False;object|person|polarity;question|statement;2;sena_documentada;placeholder;;
g152;MÁS_O_MENOS;sena_lexica;Más o menos;M1-T01-14;M1 · Saludos · p.55;trazada en corpus §12;marcador;marcador;denuncias;uso en el grafo;False;polarity|time;question;1;sena_documentada;placeholder;;
g153;OÍR;sena_lexica;Oír;M2-T02-16;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g154;POCO;sena_lexica;Poco;M2-T01-12;M2 · Opuestos · p.33;trazada en corpus §12;descriptor;descriptor;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;placeholder;;
g155;PUERTA;sena_lexica;Puerta;M1-T13-03;M1 · Sustantivos · p.107;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;uso en el grafo;True;free_text;statement;1;sena_documentada;placeholder;;
g156;VIVIR;sena_lexica;Vivir;M3-T01-09;M3 · Diálogo · p.37;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g157;ALTO;sena_lexica;Alto;M2-T01-01;M2 · Opuestos · p.33;trazada en corpus §12;rasgo;descriptor;denuncias;uso en el grafo;False;polarity;question;1;sena_documentada;placeholder;;
g158;AMIGO;sena_lexica;Amigo;M2-T08-12;M2 · Familia II · p.67;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g159;ANTEAYER;sena_lexica;Anteayer;M1-T15-06;M1 · Tiempo · p.117;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g160;ATENDER;sena_lexica;Atender;M1-T12-25;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g161;CAJA;sena_lexica;Caja;M4-T17-22;M4 · Escuela II · p.129;trazada en corpus §12;objeto;objeto;denuncias;uso en el grafo;False;evidence|object|polarity;question;2;sena_documentada;placeholder;;
g162;COMPAÑERO;sena_lexica;Compañera;M4-T17-09;M4 · Escuela II · p.129;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g163;CONVOCAR;sena_lexica;Convocar;M4-T10-43;M4 · Política II · p.89;trazada en corpus §12;tramite;interaccion;consultas|tramites;uso en el grafo;False;polarity;question;1;sena_documentada;placeholder;;
g164;CREER;sena_lexica;Creer;M4-T02-16;M4 · Verbos IV · p.39;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g165;CÁMARA_FOTOGRÁFICA;sena_lexica;Cámara fotográfica;M4-T07-16;M4 · Hogar II · p.69;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g166;DECIDIR;sena_lexica;Decidir;M4-T11-26;M4 · General II · p.99;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g167;DIBUJAR;sena_lexica;Dibujar;M1-T12-12;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g168;ENCONTRARSE;sena_lexica;Encontrarse;M3-T01-07;M3 · Diálogo · p.37;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g169;ESCONDER;sena_lexica;Esconder;M4-T02-25;M4 · Verbos IV · p.39;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g170;FILMAR;sena_lexica;Filmar;M3-T15-08;M3 · Cumpleaños · p.117;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;evidence|place|polarity;question|statement;2;sena_documentada;placeholder;;
g171;FLACO;sena_lexica;Flaco;M2-T01-08;M2 · Opuestos · p.33;trazada en corpus §12;rasgo;descriptor;denuncias;uso en el grafo;False;polarity;question;1;sena_documentada;placeholder;;
g172;FUNCIONAR;sena_lexica;Funcionar;M4-T02-01;M4 · Verbos IV · p.39;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g173;JOVEN;sena_lexica;Joven;M2-T08-20;M2 · Familia II · p.67;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;uso en el grafo;False;object|person|polarity;question|statement;2;sena_documentada;placeholder;;
g174;LEJOS;sena_lexica;Lejos;M2-T01-13;M2 · Opuestos · p.33;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g175;LEY;sena_lexica;Ley;M3-T02-18;M3 · Política I · p.43;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g176;MAMÁ;sena_lexica;Mamá;M1-T02-05;M1 · Familia · p.59;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g177;MICRO;sena_lexica;Micro;M1-T10-05;M1 · Medios de transporte · p.93;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g178;MINUTO;sena_lexica;Minuto;M3-T17-02;M3 · Tiempo III · p.129;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g179;OSCURO;sena_lexica;Oscuro;M3-T12-02;M3 · Opuestos II · p.101;trazada en corpus §12;descriptor;descriptor;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g180;PLAZA;sena_lexica;Plaza;M1-T05-05;M1 · Lugares · p.71;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g181;PLAZO;sena_lexica;Plazo;M3-T14-21;M3 · General I · p.111;trazada en corpus §12;tramite;interaccion;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g182;POSTERGAR;sena_lexica;Postergar;M3-T17-20;M3 · Tiempo III · p.129;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g183;PRÓXIMO;sena_lexica;Próximo;M2-T05-08;M2 · Tiempo II · p.53;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g184;SÁBADO;sena_lexica;Sábado;M1-T17-06;M1 · Días de la semana · p.127;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g185;TRABAJADOR;sena_lexica;Trabajador;M2-T10-02;M2 · Trabajo · p.79;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g186;VIERNES;sena_lexica;Viernes;M1-T17-05;M1 · Días de la semana · p.127;trazada en corpus §12;tiempo;tiempo;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g187;ACEPTAR;sena_lexica;Aceptar;M3-T04-12;M3 · Verbos III · p.55;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g188;ALLÁ;sena_lexica;Allá;M2-T20-08;M2 · Adverbios de lugar · p.119;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g189;ANDAR;sena_lexica;Andar;M4-T02-07;M4 · Verbos IV · p.39;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;campo contexts del catálogo;True;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g190;ASISTENTE;sena_lexica;Asistente;M4-T10-12;M4 · Política II · p.89;trazada en corpus §12;servicio;interaccion;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g191;ASOCIACIÓN_SORDOS;sena_lexica;Asociación (Sordos);M3-T01-12;M3 · Diálogo · p.37;trazada en corpus §12;personaDesc;participante;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
g192;ATRÁS;sena_lexica;Atrás;M2-T20-01;M2 · Adverbios de lugar · p.119;trazada en corpus §12;lugar;lugar;consultas|denuncias|tramites;campo contexts del catálogo;False;;;0;sena_documentada;placeholder;;"Documentada en el corpus §12 pero ningún ejemplo de los bancos 6/7/8 la utiliza. Se conserva en el catálogo y queda disponible por categoría y buscador; no se le asigna una necesidad sin uso que lo respalde."
